minute,x,y,xg,team,player
12,0.91,0.480999985,0.080724627,Barcelona,Ferrán Torres
12,0.866999969,0.47,0.080228224,Barcelona,Ronald Araújo
24,0.778000031,0.663000031,0.019810146,Barcelona,Jordi Alba
30,0.866999969,0.69,0.043284513,Barcelona,Jordi Alba
33,0.728000031,0.281000004,0.011119103,Barcelona,Ousmane Dembele
33,0.94,0.457999992,0.123643868,Barcelona,Pierre-Emerick Aubameyang
41,0.895,0.534000015,0.088518798,Barcelona,Gavi
45,0.806999969,0.487000008,0.146967173,Barcelona,Ousmane Dembele
57,0.815999985,0.66,0.051713951,Barcelona,Jordi Alba
69,0.91,0.475,0.088649087,Barcelona,Memphis Depay
75,0.793000031,0.719000015,0.021797856,Barcelona,Ousmane Dembele
75,0.876999969,0.562999992,0.013765393,Barcelona,Memphis Depay
79,0.778000031,0.44,0.026761092,Barcelona,Memphis Depay
91,0.879000015,0.397999992,0.100604378,Barcelona,Adama Traoré
92,0.781999969,0.659000015,0.01913844,Barcelona,Jordi Alba
97,0.85,0.455,0.081310242,Barcelona,Adama Traoré
99,0.815,0.539000015,0.055141885,Barcelona,Ousmane Dembele
102,0.875,0.617000008,0.061360553,Barcelona,Ousmane Dembele
6,0.876999969,0.389000015,0.074405767,Rayo Vallecano,Álvaro García
48,0.903000031,0.532999992,0.112915561,Rayo Vallecano,Isi Palazón
98,0.810999985,0.565999985,0.060427397,Rayo Vallecano,Pathé Ciss
